거래일시,연월,주문번호,고객ID,상품코드,수량,매출,단가,구매채널,디지털채널,결제수단,배송유형,카테고리,상품명,시도,권역
2020-12-01,2020-12-01,536365,17850,85123A,1,11397,11397,오프라인,,카드,매장구매,Disposables,Dog and Puppy Pads,대구,비수도권
2020-12-01,2020-12-01,536367,13047,84879,6,45320,7553,오프라인,,카드,매장구매,Cleanig Supplies,Pet Odor Eliminator,부산,비수도권
2020-12-01,2020-12-01,536368,13047,22960,1,18995,18995,온라인,앱,계좌이체,새벽배송,Grooming,Rechargeable Pet Nail Grinder,부산,비수도권
2020-12-01,2020-12-01,536371,13748,22086,14,159558,11397,온라인,앱,카드,택배배송,Disposables,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,울산,비수도권
2020-12-01,2020-12-01,536373,17850,85123A,1,11397,11397,온라인,앱,카드,택배배송,Disposables,Dog and Puppy Pads,대구,비수도권
2020-12-01,2020-12-01,536376,15291,22114,8,123356,15419,오프라인,,간편결제(네이버/카카오/토스),매장구매,Grooming,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,제주,비수도권
2020-12-01,2020-12-01,536375,17850,85123A,1,11397,11397,오프라인,,카드,매장구매,Disposables,Dog and Puppy Pads,대구,비수도권
2020-12-01,2020-12-01,536378,14688,22386,2,33878,16939,오프라인,,카드,매장구매,Food,Milk-Bone MaroSnacks Dog Treats with Real Bone,울산,비수도권
2020-12-01,2020-12-01,536378,14688,20725,2,14749,7375,오프라인,,카드,매장구매,Grooming,Pet Grooming Brush,울산,비수도권
2020-12-01,2020-12-01,536381,15311,22086,1,13185,13185,온라인,PC웹,간편결제(네이버/카카오/토스),택배배송,Disposables,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,대전,비수도권
2020-12-01,2020-12-01,536384,18074,82484,1,56028,56028,오프라인,,카드,매장구매,Food,NexGard Chew for Dogs,전북,비수도권
2020-12-01,2020-12-01,536385,17420,22960,1,18995,18995,오프라인,,간편결제(네이버/카카오/토스),매장구매,Grooming,Rechargeable Pet Nail Grinder,전남,비수도권
2020-12-01,2020-12-01,536386,16029,85099B,17,125367,7375,온라인,앱,카드,택배배송,Disposables,Earth Rated Dog Poop Bags,충북,비수도권
2020-12-01,2020-12-01,536387,16029,79321,32,546341,17073,오프라인,,카드,매장구매,Supplements,ProBiotic Supplements for Dogs,충북,비수도권
2020-12-01,2020-12-01,536390,17511,85123A,11,125367,11397,오프라인,,카드,매장구매,Disposables,Dog and Puppy Pads,경기,수도권
2020-12-01,2020-12-01,536390,17511,85099B,17,125367,7375,오프라인,,카드,매장구매,Disposables,Earth Rated Dog Poop Bags,경기,수도권
